ComplexID	ComplexName	Members	QuantifiedInColorectal	DifferentiallyExpressedInColorectal	DifferentiallyExpressedUpRegulated	DifferentiallyExpressedDownRegulated	PercentageDifferentiallyExpressedInColorectal
1183	CDC5L complex	A8K8P3 O15297 O43660 O75533 O75934 P09012 P09661 P11142 P11388 P15884 P23246 P38159 P62136 P62314 P62316 P62318 P78527 Q01130 Q07955 Q12905 Q13435 Q14204 Q15427 Q7L1Q6 Q8IYB3 Q92616 Q99459 Q9P013 Q9UMS4 Q9UPN6	O43660 O75533 O75934 P09012 P09661 P11142 P11388 P23246 P38159 P62136 P62314 P62316 P62318 P78527 Q01130 Q07955 Q12905 Q13435 Q14204 Q15427 Q7L1Q6 Q8IYB3 Q99459 Q9UMS4 Q9UPN6	O43660 P11142 P11388 P38159 P62136 P62316 P78527 Q07955 Q7L1Q6	9	0	0.36
1257	ALL-1 supercomplex	O00422 O60264 O60341 O75446 O94776 O95983 P20226 P21675 P49848 P51531 P61964 P62826 Q03164 Q09028 Q12824 Q12873 Q13547 Q15029 Q15291 Q16514 Q16576 Q16594 Q8TAQ2 Q92769 Q92797 Q92922 Q96ST3 Q9P2I0	O60264 O60341 O94776 P51531 P61964 P62826 Q09028 Q12873 Q13547 Q15029 Q16576 Q8TAQ2 Q92769 Q92797 Q92922 Q9P2I0	O60264 Q12873 Q8TAQ2 Q92922	4	0	0.25
5380	TRBP containing complex (DICER, RPL7A, EIF6, MOV10 and subunits of the 60S ribosomal particle)	P05386 P05387 P18077 P18124 P26373 P30050 P46778 P46779 P49207 P50914 P56537 P61313 P61353 P61513 P62424 P62888 P62906 P62910 P62913 P84098 Q02543 Q9HCE1 Q9UHA3 Q9UPY3 Q9Y3U8	P05386 P05387 P18077 P18124 P26373 P30050 P46778 P46779 P49207 P50914 P56537 P61313 P61353 P61513 P62424 P62888 P62906 P62910 P62913 P84098 Q02543 Q9HCE1 Q9Y3U8	P26373 P46779 P61313	3	0	0.130434782608696
430	18S U11/U12 snRNP	O43143 O75533 P14678 P62304 P62306 P62308 P62314 P62316 P62318 P67809 Q13435 Q15393 Q15427 Q15696 Q16560 Q6IEG0 Q6P2Q9 Q8N8D1 Q8TBF4 Q96LT9 Q9BV90 Q9BWJ5 Q9UDW3 Q9Y3B4	O43143 O75533 P14678 P62304 P62306 P62308 P62314 P62316 P62318 P67809 Q13435 Q15393 Q15427 Q6P2Q9 Q9BWJ5	P14678 P62316	2	0	0.133333333333333
5615	Emerin complex 52	O00148 O95777 P10827 P12277 P14866 P20700 P27348 P46940 P50402 P51858 P60709 P61978 P62258 P62314 Q00839 Q02539 Q07021 Q08999 Q12906 Q13287 Q53EL6 Q9BZZ5 Q9Y2U8	O00148 P12277 P14866 P20700 P27348 P46940 P50402 P51858 P60709 P61978 P62258 P62314 Q00839 Q02539 Q07021 Q12906 Q53EL6 Q9BZZ5 Q9Y2U8	P12277 P14866 P51858 Q02539 Q12906 Q53EL6	4	2	0.315789473684211
5614	Emerin complex 32	O00422 O15379 P20700 P28749 P50402 P60709 P68431 Q08999 Q12824 Q13263 Q13287 Q13547 Q13813 Q14839 Q8TAQ2 Q92922 Q9BQ87 Q9BZK7 Q9C005 Q9H503 Q9NPJ6 Q9UKL0	P20700 P50402 P60709 P68431 Q13263 Q13547 Q13813 Q14839 Q8TAQ2 Q92922 Q9BZK7 Q9C005	Q14839 Q8TAQ2 Q92922 Q9C005	3	1	0.333333333333333
1332	Large Drosha complex	O00571 O14979 O43143 P17844 P31943 P35637 P52272 Q00839 Q01844 Q12905 Q12906 Q13148 Q8WYQ5 Q92499 Q92804 Q92841 Q96SB4 Q9BUJ2 Q9NRR4 Q9UKM9	O00571 O43143 P17844 P31943 P35637 P52272 Q00839 Q01844 Q12905 Q12906 Q13148 Q92499 Q92804 Q92841 Q96SB4 Q9BUJ2 Q9UKM9	Q12906 Q96SB4 Q9UKM9	3	0	0.176470588235294
778	LARC complex (LCR-associated remodeling complex)	O14497 O94776 O95983 O96019 P07910 P51532 P60709 Q09028 Q12824 Q13547 Q14839 Q8TAQ2 Q8WXI9 Q92769 Q92785 Q92922 Q92925 Q969G3 Q9UBB5	O94776 O96019 P07910 P51532 P60709 Q09028 Q13547 Q14839 Q8TAQ2 Q8WXI9 Q92769 Q92785 Q92922 Q969G3 Q9UBB5	O96019 P51532 Q14839 Q8TAQ2 Q92922 Q9UBB5	6	0	0.4
1335	SNW1 complex	O75643 O95071 P07437 P11021 P17858 P23246 P26641 P43243 P43246 P68104 Q00839 Q13573 Q15029 Q16531 Q6P2Q9 Q99459 Q9BUQ8 Q9UG63	O75643 O95071 P07437 P11021 P17858 P23246 P26641 P43243 P43246 P68104 Q00839 Q13573 Q15029 Q16531 Q6P2Q9 Q99459 Q9BUQ8	P43246 Q9BUQ8	2	0	0.117647058823529
2721	HCF-1 complex	O15047 O15294 O75182 O75446 P07900 P08047 P11021 P11142 P34932 P51610 P61964 Q09028 Q13547 Q16576 Q92769 Q96ST3 Q9H7L9 Q9UBL3	O15294 O75182 P07900 P11021 P11142 P34932 P51610 P61964 Q09028 Q13547 Q16576 Q92769	O15294 P11142	2	0	0.166666666666667
632	Anti-HDAC2 complex	O60341 O94776 P78347 Q09028 Q12873 Q13330 Q13547 Q14202 Q14687 Q14839 Q16576 Q92769 Q96BD5 Q96ST3 Q9P0W2 Q9UBW7 Q9UKL0	O60341 O94776 P78347 Q09028 Q12873 Q13330 Q13547 Q14202 Q14839 Q16576 Q92769	Q12873 Q14839	2	0	0.181818181818182
192	PA28-20S proteasome	O14818 P20618 P25786 P25787 P25788 P25789 P28066 P28070 P28072 P28074 P49720 P49721 P60900 Q06323 Q99436 Q9UL46	O14818 P20618 P25786 P25787 P25788 P25789 P28066 P28070 P28072 P49720 P49721 P60900 Q06323 Q99436 Q9UL46	P49721 Q99436	1	1	0.133333333333333
282	SNF2h-cohesin-NuRD complex	O60216 O60264 O94776 O95983 Q09028 Q12873 Q13330 Q13547 Q14683 Q16576 Q8N3U4 Q8WVM7 Q92769 Q9NRL2 Q9UBB5 Q9UQE7	O60216 O60264 O94776 Q09028 Q12873 Q13330 Q13547 Q14683 Q16576 Q8N3U4 Q92769 Q9NRL2 Q9UBB5 Q9UQE7	O60264 Q12873 Q9NRL2 Q9UBB5 Q9UQE7	5	0	0.357142857142857
563	F1F0-ATP synthase, mitochondrial	O75947 O75964 P00846 P03928 P05496 P06576 P18859 P24539 P25705 P30049 P36542 P48047 P56134 P56381 P56385 Q9UII2	O75947 O75964 P06576 P18859 P24539 P25705 P30049 P36542 P48047 P56134 P56381 P56385	O75947 O75964 P18859 P25705 P30049	2	3	0.416666666666667
1141	CF IIAm complex (Cleavage factor IIAm complex)	O43809 O60231 O94913 P19447 P23246 P26368 P26599 P49959 Q01081 Q07157 Q14444 Q16630 Q8N684 Q92759 Q92989 Q9UKF6	O43809 P23246 P26368 P26599 Q01081 Q07157 Q14444 Q16630 Q8N684 Q9UKF6	P26599 Q01081 Q9UKF6	3	0	0.3
1143	SMN complex	O14893 P14678 P57678 P62304 P62306 P62308 P62314 P62316 P62318 Q16637 Q8TEQ6 Q8WXD5 Q9H840 Q9NWZ8 Q9UHI6 Q9Y3F4	P14678 P57678 P62304 P62306 P62308 P62314 P62316 P62318 Q8TEQ6 Q9Y3F4	P14678 P62316	2	0	0.2
2914	Respiratory chain complex I (beta subunit) mitochondrial	O00483 O14561 O43674 O43676 O75438 O95139 O95168 O95169 O95178 O95298 O96000 P03905 P03915 P17568 Q9NX14 Q9Y6M9	O00483 O14561 O43676 O95168 O95169 O96000 P17568 Q9NX14 Q9Y6M9	O14561 O43676 O95168 O95169 O96000 P17568 Q9Y6M9	1	6	0.777777777777778
2920	Respiratory chain complex I (lambda subunit) mitochondrial	O00217 O43181 O43678 O75251 O75306 O75380 O75489 O95182 P19404 P28331 P49821 P56181 Q16718 Q86Y39 Q9P0J0 Q9UI09	O00217 O43181 O43678 O75251 O75306 O75380 O75489 O95182 P19404 P28331 P49821 P56181 Q16718 Q86Y39 Q9P0J0 Q9UI09	O00217 O43181 O43678 O75251 O75306 O75380 O95182 P19404 P28331 P49821 P56181 Q9UI09	0	12	0.75
5199	Kinase maturation complex 1	P07900 P08238 P27348 P31946 P34932 P61981 P62258 P63104 Q04917 Q13163 Q16543 Q6Q0C0 Q7KZI7 Q99759 Q9NUG6 Q9UHV9	P07900 P08238 P27348 P31946 P34932 P61981 P62258 P63104 Q04917 Q16543 Q7KZI7 Q9UHV9		0	0	0
5613	Emerin complex 25	O75531 O95218 O95777 P05455 P20700 P31946 P50402 P60709 P61978 P62258 P62314 Q13283 Q16543 Q9H0E3 Q9P287 Q9Y333	O75531 P05455 P20700 P31946 P50402 P60709 P61978 P62258 P62314 Q13283 Q16543 Q9P287 Q9Y333	Q9P287	1	0	0.0769230769230769
1068	12S U11 snRNP	P14678 P62304 P62306 P62308 P62314 P62316 P62318 P67809 Q16560 Q16629 Q6IEG0 Q8N8D1 Q96GM8 Q9BV90 Q9H875	P14678 P62304 P62306 P62308 P62314 P62316 P62318 P67809 Q16629	P14678 P62316	2	0	0.222222222222222
5611	Emerin complex 24	P02545 P06400 P20700 P33991 P49736 P50402 P68431 Q00839 Q02539 Q07021 Q08999 Q13287 Q14566 Q9H0E3 Q9H503	P02545 P20700 P33991 P49736 P50402 P68431 Q00839 Q02539 Q07021 Q14566	P02545 P49736 Q02539 Q14566	4	0	0.4
1230	WINAC complex	O14497 O96019 P11473 P51531 P51532 Q02880 Q12824 Q13111 Q8TAQ2 Q92922 Q969G3 Q96GM5 Q9UIG0 Q9Y5B9	O96019 P51531 P51532 Q02880 Q8TAQ2 Q92922 Q969G3 Q9UIG0 Q9Y5B9	O96019 P51532 Q02880 Q8TAQ2 Q92922 Q9UIG0	6	0	0.666666666666667
5266	TNF-alpha/NF-kappa B signaling complex 6	O14920 O15111 P07900 P08238 P22087 P36578 P62277 P62280 P62888 P62917 Q02878 Q16543 Q99558 Q9Y6K9	P07900 P08238 P22087 P36578 P62277 P62280 P62888 P62917 Q02878 Q16543		0	0	0
6671	PI4K2A-WASH complex	O00203 P46934 P47756 P50570 P52907 Q00610 Q12768 Q2M389 Q5T1M5 Q641Q2 Q92888 Q92974 Q96N67 Q9BTU6	O00203 P47756 P50570 P52907 Q00610 Q5T1M5 Q92888 Q92974 Q96N67		0	0	0
6888	v-ATPase-Ragulator-AXIN/LKB1-AMPK complex	O15169 O43504 P21281 P27449 P38606 P54619 P61421 Q0VGL1 Q13131 Q15831 Q6IAA8 Q9UHA4 Q9Y2Q5 Q9Y478	P21281 P38606 P54619 P61421 Q13131 Q6IAA8 Q9Y2Q5 Q9Y478		0	0	0
728	CSA-POLIIa complex	P24928 P61201 P62877 Q13098 Q13216 Q13619 Q16531 Q7L5N1 Q92905 Q99627 Q9BT78 Q9UBW8 Q9UNS2	P24928 P61201 Q13098 Q13619 Q16531 Q7L5N1 Q92905 Q99627 Q9BT78 Q9UBW8 Q9UNS2	Q99627 Q9BT78 Q9UNS2	3	0	0.272727272727273
1004	RC complex during S-phase of cell cycle	P09874 P09884 P11387 P15927 P18858 P20248 P24941 P27694 P28340 P35244 P35250 P35251 Q07864	P09874 P11387 P15927 P18858 P24941 P27694 P28340 P35244 P35250	P35250	1	0	0.111111111111111
1097	eIF3 complex (EIF3S6, EIF3S5, EIF3S4, EIF3S3, EIF3S6IP, EIF3S2, EIF3S9, EIF3S12,  EIF3S10, EIF3S8,  EIF3S1, EIF3S7, PCID1)	O00303 O15371 O15372 O75821 O75822 P55884 P60228 Q13347 Q14152 Q7L2H7 Q99613 Q9UBQ5 Q9Y262	O00303 O15371 O15372 O75821 O75822 P55884 P60228 Q13347 Q14152 Q7L2H7 Q99613 Q9UBQ5 Q9Y262	Q9Y262	1	0	0.0769230769230769
1223	H2AX complex, isolated from cells without IR exposure	O43390 P05455 P06748 P11021 P11940 P16104 P27797 P62158 P62805 Q08945 Q8N257 Q9Y262 Q9Y5B9	O43390 P05455 P06748 P11021 P11940 P16104 P27797 P62805 Q08945 Q9Y262 Q9Y5B9	P06748 Q9Y262	2	0	0.181818181818182
6859	HRD1 complex	O94905 P11021 P14625 P35613 Q13438 Q86TM6 Q96CS3 Q96DZ1 Q9GZP9 Q9UBU6 Q9UBV2 Q9Y385 Q9Y679	O94905 P11021 P14625 P35613 Q96CS3 Q9UBV2 Q9Y679		0	0	0
433	BASC complex (BRCA1-associated genome surveillance complex)	O60934 P35249 P35250 P35251 P38398 P40692 P43246 P49959 P52701 P54132 Q13315 Q92878	O60934 P35249 P35250 P43246 P52701 Q13315 Q92878	P35250 P43246 P52701 Q92878	4	0	0.571428571428571
725	P2X7 receptor signalling complex	O43707 O95425 P05107 P08238 P0DMV8 P11142 P23467 P42356 P60709 Q13368 Q16787 Q99572	O43707 O95425 P05107 P08238 P0DMV8 P11142 P42356 P60709 Q16787	P11142	1	0	0.111111111111111
727	CSA complex	P61201 P62877 Q13098 Q13216 Q13619 Q16531 Q7L5N1 Q92905 Q99627 Q9BT78 Q9UBW8 Q9UNS2	P61201 Q13098 Q13619 Q16531 Q7L5N1 Q92905 Q99627 Q9BT78 Q9UBW8 Q9UNS2	Q99627 Q9BT78 Q9UNS2	3	0	0.3
2905	Respiratory chain complex I (intermediate), mitochondrial	O43181 O43678 O43920 O75251 O75306 O75489 O95139 P03886 P19404 P56556 Q16795	O43181 O43678 O43920 O75251 O75306 O75489 P19404 P56556 Q16795	O43181 O43678 O43920 O75251 O75306 P19404 P56556 Q16795	0	8	0.888888888888889
2948	Respiratory chain complex I (incomplete intermediate), mitochondrial	O43181 O75251 O75306 O75380 O95169 O95299 P19404 P28331 P49821 P56181 Q16795	O43181 O75251 O75306 O75380 O95169 O95299 P19404 P28331 P49821 P56181 Q16795	O43181 O75251 O75306 O75380 O95169 O95299 P19404 P28331 P49821 P56181 Q16795	0	11	1
3040	Multisynthetase complex	O43324 P07814 P14868 P41252 P47897 P54136 P56192 Q12904 Q13155 Q15046 Q9P2J5	O43324 P07814 P14868 P41252 P47897 P54136 P56192 Q12904 Q13155 Q15046 Q9P2J5	O43324 Q15046	2	0	0.181818181818182
3082	DGCR8 multiprotein complex	O43390 P11021 P17844 P19338 P31943 P35637 Q00839 Q08211 Q12906 Q8WYQ5 Q92841	O43390 P11021 P17844 P19338 P31943 P35637 Q00839 Q08211 Q12906 Q92841	Q12906	1	0	0.1
