ComplexID	ComplexName	Members	QuantifiedInColorectal	DifferentiallyExpressedInColorectal	DifferentiallyExpressedUpRegulated	DifferentiallyExpressedDownRegulated	PercentageDifferentiallyExpressedInColorectal
280	HMGB1-HMGB2-HSC70-ERP60-GAPDH complex	P04406 P09429 P11142 P26583 P30101	P04406 P09429 P11142 P26583 P30101	P04406 P11142	2	0	0.4
657	Retromer complex (SNX1, SNX2, VPS35, VPS29, VPS26A)	O60749 O75436 Q13596 Q96QK1 Q9UBQ0	O60749 O75436 Q13596 Q96QK1 Q9UBQ0	Q13596 Q9UBQ0	1	1	0.4
1345	Septin complex	Q15019 Q16181 Q92599 Q9NVA2 Q9UHD8	Q15019 Q16181 Q92599 Q9NVA2 Q9UHD8	Q16181 Q9UHD8	2	0	0.4
2318	ITGA6-ITGB4-Laminin10/12 complex	O15230 P07942 P11047 P16144 P23229	O15230 P07942 P11047 P16144 P23229	O15230 P16144	1	1	0.4
5876	PPP2R1A-PPP2R1B-PPP2CA-PPME1-EIF4A1 complex	P30153 P30154 P60842 P67775 Q9Y570	P30153 P30154 P60842 P67775 Q9Y570	P30154 P60842	2	0	0.4
7285	HEXIM1-DNA-PK-paraspeckle components-ribonucleoprotein complex	O94992 P12956 P13010 P23246 P43243 P78527 Q15233 Q8WXF1 Q96PK6	P12956 P13010 P23246 P43243 P78527 Q15233 Q8WXF1 Q96PK6	P78527 Q15233 Q96PK6	3	0	0.375
1183	CDC5L complex	A8K8P3 O15297 O43660 O75533 O75934 P09012 P09661 P11142 P11388 P15884 P23246 P38159 P62136 P62314 P62316 P62318 P78527 Q01130 Q07955 Q12905 Q13435 Q14204 Q15427 Q7L1Q6 Q8IYB3 Q92616 Q99459 Q9P013 Q9UMS4 Q9UPN6	O43660 O75533 O75934 P09012 P09661 P11142 P11388 P23246 P38159 P62136 P62314 P62316 P62318 P78527 Q01130 Q07955 Q12905 Q13435 Q14204 Q15427 Q7L1Q6 Q8IYB3 Q99459 Q9UMS4 Q9UPN6	O43660 P11142 P11388 P38159 P62136 P62316 P78527 Q07955 Q7L1Q6	9	0	0.36
282	SNF2h-cohesin-NuRD complex	O60216 O60264 O94776 O95983 Q09028 Q12873 Q13330 Q13547 Q14683 Q16576 Q8N3U4 Q8WVM7 Q92769 Q9NRL2 Q9UBB5 Q9UQE7	O60216 O60264 O94776 Q09028 Q12873 Q13330 Q13547 Q14683 Q16576 Q8N3U4 Q92769 Q9NRL2 Q9UBB5 Q9UQE7	O60264 Q12873 Q9NRL2 Q9UBB5 Q9UQE7	5	0	0.357142857142857
5614	Emerin complex 32	O00422 O15379 P20700 P28749 P50402 P60709 P68431 Q08999 Q12824 Q13263 Q13287 Q13547 Q13813 Q14839 Q8TAQ2 Q92922 Q9BQ87 Q9BZK7 Q9C005 Q9H503 Q9NPJ6 Q9UKL0	P20700 P50402 P60709 P68431 Q13263 Q13547 Q13813 Q14839 Q8TAQ2 Q92922 Q9BZK7 Q9C005	Q14839 Q8TAQ2 Q92922 Q9C005	3	1	0.333333333333333
822	mRNA decay complex (UPF1, UPF2, UPF3B, DCP2, XRN1, XRN2, EXOSC2, EXOSC4, EXOSC10, PARN)	O95453 Q01780 Q13868 Q8IU60 Q8IZH2 Q92900 Q9BZI7 Q9H0D6 Q9HAU5 Q9NPD3	Q01780 Q13868 Q92900 Q9H0D6 Q9HAU5 Q9NPD3	Q01780 Q9HAU5	1	1	0.333333333333333
1149	Histone H3.1 complex	O14929 P49321 P62805 P68431 Q09028 Q13111 Q13112 Q8TEX9 Q9NVP2 Q9Y294	O14929 P49321 P62805 P68431 Q09028 Q8TEX9	P49321 Q8TEX9	2	0	0.333333333333333
6247	BBS-chaperonin complex	P17987 P48643 P49368 P50990 P50991 P78371 Q6ZW61 Q8IWZ6 Q8TAM1 Q9NPJ1	P17987 P48643 P49368 P50990 P50991 P78371	P49368 P50991	2	0	0.333333333333333
2300	Profilin 2 complex	O75116 P11142 P17600 P35080 P60709 Q05193 Q7L576 Q92777 Q9Y2A7	O75116 P11142 P35080 P60709 Q05193 Q9Y2A7	P11142 P35080	1	1	0.333333333333333
2715	Ubiquitin E3 ligase (CSN1, CSN8, HRT1, SKP1, SKP2, CUL1, CUL2, CUL3)	P62877 P63208 Q13098 Q13309 Q13616 Q13617 Q13618 Q99627	P63208 Q13098 Q13616 Q13617 Q13618 Q99627	P63208 Q99627	2	0	0.333333333333333
1147	Polyadenylation complex (CSTF1, CSTF2, CSTF3, SYMPK CPSF1, CPSF2, CPSF3)	P33240 Q05048 Q10570 Q12996 Q92797 Q9P2I0 Q9UKF6	P33240 Q10570 Q12996 Q92797 Q9P2I0 Q9UKF6	Q12996 Q9UKF6	2	0	0.333333333333333
1226	H2AX complex I	P06748 P09874 P11021 P16104 P27797 Q7L2E3 Q8N257	P06748 P09874 P11021 P16104 P27797 Q7L2E3	P06748 Q7L2E3	2	0	0.333333333333333
5209	Ubiquilin-proteasome complex	P25786 P25787 P60900 Q05086 Q9UHD9 Q9UMX0	P25786 P25787 P60900 Q05086 Q9UHD9 Q9UMX0	Q9UHD9 Q9UMX0	2	0	0.333333333333333
7298	ACTB-ANP32A-C1QBP-PSMA1-PTMA-PSMA1 complex	P06454 P25786 P39687 P60709 Q00325 Q07021	P06454 P25786 P39687 P60709 Q00325 Q07021	P06454 Q00325	1	1	0.333333333333333
753	UTM-SGCE-DAG1-CAV1-NOS3 complex	O43556 P29474 P46939 Q03135 Q14118	P46939 Q03135 Q14118	Q14118	0	1	0.333333333333333
1085	DNA repair complex NEIL2-PNK-Pol(beta)-LigIII(alpha)-XRCC1	O00764 P06746 P18887 P49916 Q969S2	O00764 P18887 P49916	O00764	0	1	0.333333333333333
1144	Cleavage and polyadenylation factor (CPSF)	O95639 Q10570 Q6UN15 Q9P2I0 Q9UKF6	Q10570 Q9P2I0 Q9UKF6	Q9UKF6	1	0	0.333333333333333
2188	Ubiquitin E3 ligase (CDC34, NEDD8, BTRC, CUL1, SKP1A, RBX1)	P62877 P63208 Q13616 Q15843 Q9Y297	P63208 Q13616 Q15843	P63208	1	0	0.333333333333333
6149	Codanin-1-Asf1\u2013histone H3.1-histone H4\u2013importin-4 complex,  cytosolic	P62805 P68431 Q8IWY9 Q8TEX9 Q9Y294	P62805 P68431 Q8TEX9	Q8TEX9	1	0	0.333333333333333
5615	Emerin complex 52	O00148 O95777 P10827 P12277 P14866 P20700 P27348 P46940 P50402 P51858 P60709 P61978 P62258 P62314 Q00839 Q02539 Q07021 Q08999 Q12906 Q13287 Q53EL6 Q9BZZ5 Q9Y2U8	O00148 P12277 P14866 P20700 P27348 P46940 P50402 P51858 P60709 P61978 P62258 P62314 Q00839 Q02539 Q07021 Q12906 Q53EL6 Q9BZZ5 Q9Y2U8	P12277 P14866 P51858 Q02539 Q12906 Q53EL6	4	2	0.315789473684211
1141	CF IIAm complex (Cleavage factor IIAm complex)	O43809 O60231 O94913 P19447 P23246 P26368 P26599 P49959 Q01081 Q07157 Q14444 Q16630 Q8N684 Q92759 Q92989 Q9UKF6	O43809 P23246 P26368 P26599 Q01081 Q07157 Q14444 Q16630 Q8N684 Q9UKF6	P26599 Q01081 Q9UKF6	3	0	0.3
727	CSA complex	P61201 P62877 Q13098 Q13216 Q13619 Q16531 Q7L5N1 Q92905 Q99627 Q9BT78 Q9UBW8 Q9UNS2	P61201 Q13098 Q13619 Q16531 Q7L5N1 Q92905 Q99627 Q9BT78 Q9UBW8 Q9UNS2	Q99627 Q9BT78 Q9UNS2	3	0	0.3
1186	ESCRT-III complex	O43633 Q7LBR1 Q96CF2 Q96FZ7 Q9BY43 Q9H444 Q9HD42 Q9NZZ3 Q9UQN3 Q9Y3E7	O43633 Q96CF2 Q9BY43 Q9H444 Q9HD42 Q9NZZ3 Q9Y3E7	Q9BY43 Q9Y3E7	1	1	0.285714285714286
1227	H2AX complex II	P06748 P11021 P16104 P16989 P27797 P33778 P62805 Q8N257 Q96EY7 Q99879	P06748 P11021 P16104 P27797 P33778 P62805 Q96EY7	P06748 P33778	2	0	0.285714285714286
646	HDAC1-associated protein complex	O60341 O94776 O95983 Q09028 Q12873 Q13547 Q16576 Q9UBB5 Q9UKL0	O60341 O94776 Q09028 Q12873 Q13547 Q16576 Q9UBB5	Q12873 Q9UBB5	2	0	0.285714285714286
835	6S methyltransferase and RG-containing Sm proteins complex	P14678 P54105 P62304 P62306 P62308 P62314 P62316 P62318	P14678 P62304 P62306 P62308 P62314 P62316 P62318	P14678 P62316	2	0	0.285714285714286
614	NRD complex (Nucleosome remodeling and deacetylation complex)	O60341 Q09028 Q12873 Q13330 Q13547 Q14839 Q92769	O60341 Q09028 Q12873 Q13330 Q13547 Q14839 Q92769	Q12873 Q14839	2	0	0.285714285714286
728	CSA-POLIIa complex	P24928 P61201 P62877 Q13098 Q13216 Q13619 Q16531 Q7L5N1 Q92905 Q99627 Q9BT78 Q9UBW8 Q9UNS2	P24928 P61201 Q13098 Q13619 Q16531 Q7L5N1 Q92905 Q99627 Q9BT78 Q9UBW8 Q9UNS2	Q99627 Q9BT78 Q9UNS2	3	0	0.272727272727273
3055	Nop56p-associated pre-rRNA complex	O00567 O76021 P05141 P05386 P05387 P05388 P06748 P08708 P09651 P11387 P13639 P15880 P16402 P18077 P18124 P18621 P19338 P22087 P25398 P26368 P26373 P27635 P30050 P32969 P35268 P36578 P37108 P39023 P40429 P42766 P46776 P46777 P46778 P46779 P46781 P47914 P49411 P50914 P52272 P55209 P55769 P61247 P61254 P61313 P61353 P61513 P62081 P62241 P62244 P62249 P62263 P62266 P62269 P62273 P62277 P62280 P62424 P62736 P62750 P62753 P62829 P62841 P62847 P62888 P62891 P62899 P62906 P62910 P62913 P62917 P63267 P67809 P68104 P83731 P83881 P84098 Q00839 Q01081 Q02543 Q02878 Q07020 Q08211 Q12905 Q12906 Q13428 Q13610 Q14978 Q6P3W7 Q71U36 Q8TDN6 Q92522 Q96SB4 Q99848 Q99879 Q9BQG0 Q9BVP2 Q9H4B7 Q9NR30 Q9NW13 Q9NX58 Q9NZI8 Q9Y2X3 Q9Y383 Q9Y3U8	O00567 O76021 P05141 P05386 P05387 P05388 P06748 P09651 P11387 P13639 P15880 P16402 P18077 P18124 P19338 P22087 P25398 P26368 P26373 P27635 P30050 P32969 P35268 P36578 P37108 P39023 P40429 P42766 P46776 P46777 P46778 P46779 P46781 P47914 P49411 P50914 P52272 P55209 P61247 P61254 P61313 P61353 P61513 P62081 P62241 P62244 P62249 P62263 P62266 P62269 P62273 P62277 P62280 P62424 P62736 P62750 P62753 P62829 P62841 P62847 P62888 P62899 P62906 P62910 P62913 P62917 P63267 P67809 P68104 P83731 P84098 Q00839 Q01081 Q02543 Q02878 Q07020 Q08211 Q12905 Q12906 Q13428 Q14978 Q6P3W7 Q8TDN6 Q92522 Q96SB4 Q99848 Q9BQG0 Q9BVP2 Q9H4B7 Q9NR30 Q9NW13 Q9NX58 Q9NZI8 Q9Y2X3 Q9Y383 Q9Y3U8	O76021 P06748 P09651 P26373 P27635 P39023 P40429 P46779 P61313 P62899 Q01081 Q07020 Q12906 Q13428 Q14978 Q8TDN6 Q96SB4 Q99848 Q9BQG0 Q9BVP2 Q9H4B7 Q9NR30 Q9NW13 Q9NX58 Q9NZI8 Q9Y383	25	1	0.270833333333333
1257	ALL-1 supercomplex	O00422 O60264 O60341 O75446 O94776 O95983 P20226 P21675 P49848 P51531 P61964 P62826 Q03164 Q09028 Q12824 Q12873 Q13547 Q15029 Q15291 Q16514 Q16576 Q16594 Q8TAQ2 Q92769 Q92797 Q92922 Q96ST3 Q9P2I0	O60264 O60341 O94776 P51531 P61964 P62826 Q09028 Q12873 Q13547 Q15029 Q16576 Q8TAQ2 Q92769 Q92797 Q92922 Q9P2I0	O60264 Q12873 Q8TAQ2 Q92922	4	0	0.25
659	MeCP1 complex	O94776 O95983 Q09028 Q13547 Q14839 Q16576 Q8WXI9 Q92769 Q9UBB5	O94776 Q09028 Q13547 Q14839 Q16576 Q8WXI9 Q92769 Q9UBB5	Q14839 Q9UBB5	2	0	0.25
5183	DNA-PK-Ku-eIF2-NF90-NF45 complex	P05198 P12956 P13010 P20042 P41091 P78527 Q12905 Q12906	P05198 P12956 P13010 P20042 P41091 P78527 Q12905 Q12906	P78527 Q12906	2	0	0.25
814	Postsplicing complex	Q15287 Q92900 Q9BZI7 Q9H1J1 Q9HAU5 Q9UBU9 Q9Y5S9	Q15287 Q92900 Q9HAU5 Q9Y5S9	Q9HAU5	0	1	0.25
6742	SMG1-UPF2-Y14-MAGOH-UPF3B-EIF4A3 complex	P38919 P61326 Q96Q15 Q9BZI7 Q9HAU5 Q9Y5S9	P38919 P61326 Q9HAU5 Q9Y5S9	Q9HAU5	0	1	0.25
186	Wave-2 complex	Q7L576 Q8IZP0 Q8WUW1 Q9Y2A7 Q9Y6W5	Q8IZP0 Q8WUW1 Q9Y2A7 Q9Y6W5	Q8IZP0	1	0	0.25
1171	c-MYC-ATPase-helicase complex	O96019 P01106 Q9Y230 Q9Y265 Q9Y4A5	O96019 Q9Y230 Q9Y265 Q9Y4A5	O96019	1	0	0.25
1191	RNA pol II containing coactivator complex Tat-SF	O00267 O43719 P19338 P24928 P50750	O00267 P19338 P24928 P50750	O00267	1	0	0.25
5179	NCOA6-DNA-PK-Ku-PARP1 complex	P09874 P12956 P13010 P78527 Q14686	P09874 P12956 P13010 P78527	P78527	1	0	0.25
5211	RAF1-PPP2-PIN1 complex	P04049 P30153 P62714 P63151 Q13526	P30153 P62714 P63151 Q13526	P63151	1	0	0.25
6289	prohibitin 2 complex, mitochondrial	O00165 P05141 P35232 P45880 Q99623	P05141 P35232 P45880 Q99623	Q99623	1	0	0.25
7225	CDH4-HDAC2-MTA2-RBBP7-TWIST1 complex	O94776 Q14839 Q15672 Q16576 Q92769	O94776 Q14839 Q16576 Q92769	Q14839	1	0	0.25
1068	12S U11 snRNP	P14678 P62304 P62306 P62308 P62314 P62316 P62318 P67809 Q16560 Q16629 Q6IEG0 Q8N8D1 Q96GM8 Q9BV90 Q9H875	P14678 P62304 P62306 P62308 P62314 P62316 P62318 P67809 Q16629	P14678 P62316	2	0	0.222222222222222
6838	IGF2BP1 complex	O60506 O95793 P61254 P62753 P67809 Q00839 Q08211 Q15717 Q9NZI8	O60506 O95793 P61254 P62753 P67809 Q00839 Q08211 Q15717 Q9NZI8	O95793 Q9NZI8	1	1	0.222222222222222
